CL-Symbol,Type,golisp2,Kurzbeschreibung
&ALLOW-OTHER-KEYS,Kern,N,Lambda-list marker: signals that extra keyword arguments are accepted.
&AUX,Kern,N,Lambda-list marker for auxiliary local variables with init forms.
&BODY,Kern,N,"Lambda-list marker: like &REST, documents that the body follows."
&ENVIRONMENT,Kern,N,Lambda-list marker binding the lexical environment (macros).
&KEY,Kern,J,Lambda-list marker for keyword arguments.
&OPTIONAL,Kern,J,Lambda-list marker for optional arguments.
&REST,Kern,J,Lambda-list marker collecting remaining args as a list.
&WHOLE,Kern,N,Lambda-list marker binding the entire calling form (macros).
*,Kern,J,"Return the product of its arguments. With no args, returns 1."
**,Kern,N,the previous value of *
***,Kern,N,the previous value of **
*BREAK-ON-SIGNALS*,Kern,N,"When (TYPEP condition *BREAK-ON-SIGNALS*) is true, then calls to SIGNAL will enter the debugger prior to signalling that condition."
*COMPILE-FILE-PATHNAME*,Kern,N,Variable: pathname of the file being compiled.
*COMPILE-FILE-TRUENAME*,Kern,N,Variable: truename of the file being compiled.
*COMPILE-PRINT*,Kern,N,The default for the :PRINT argument to COMPILE-FILE.
*COMPILE-VERBOSE*,Kern,N,The default for the :VERBOSE argument to COMPILE-FILE.
*DEBUG-IO*,Kern,N,interactive debugging stream
*DEBUGGER-HOOK*,Kern,N,"This is either NIL or a function of two arguments, a condition and the value of *DEBUGGER-HOOK*. This function can either handle the condition or return which causes the standard debugger to execute. "
*DEFAULT-PATHNAME-DEFAULTS*,Kern,N,Variable: default pathname used by pathname operations.
*ERROR-OUTPUT*,Kern,N,error output stream
*FEATURES*,Kern,N,a list of symbols that describe features provided by the implementation
*GENSYM-COUNTER*,Kern,N,counter for generating unique GENSYM symbols
*LOAD-PATHNAME*,Kern,N,Variable: pathname of the file being loaded.
*LOAD-PRINT*,Kern,N,the default for the :PRINT argument to LOAD
*LOAD-TRUENAME*,Kern,N,Variable: truename of the file being loaded.
*LOAD-VERBOSE*,Kern,N,the default for the :VERBOSE argument to LOAD
*MACROEXPAND-HOOK*,Kern,N,"The value of this variable must be a designator for a function that can take three arguments, a macro expander function, the macro form to be expanded, and the lexical environment to expand in. The fu"
*MODULES*,Kern,N,This is a list of module names that have been loaded into Lisp so far. It is used by PROVIDE and REQUIRE.
*PACKAGE*,Kern,N,the current package
*PRINT-ARRAY*,Kern,N,Should the contents of arrays be printed?
*PRINT-BASE*,Kern,N,The output base for RATIONALs (including integers).
*PRINT-CASE*,Kern,N,What case should the printer should use default?
*PRINT-CIRCLE*,Kern,N,Should we use #n= and #n# notation to preserve uniqueness in general (and circularity in particular) when printing?
*PRINT-ESCAPE*,Kern,N,Should we print in a reasonably machine-readable way? (possibly overridden by *PRINT-READABLY*)
*PRINT-GENSYM*,Kern,N,Should #: prefixes be used when printing symbols with null SYMBOL-PACKAGE?
*PRINT-LENGTH*,Kern,N,"How many elements at any level should be printed before abbreviating with ""...""?"
*PRINT-LEVEL*,Kern,N,"How many levels should be printed before abbreviating with ""#""?"
*PRINT-LINES*,Kern,N,The maximum number of lines to print per object.
*PRINT-MISER-WIDTH*,Kern,N,"If the remaining space between the current column and the right margin is less than this, then print using ``miser-style'' output. Miser style conditional newlines are turned on, and all indentations "
*PRINT-PPRINT-DISPATCH*,Kern,N,The pprint-dispatch-table that controls how to pretty-print objects.
*PRINT-PRETTY*,Kern,N,Should pretty printing be used?
*PRINT-RADIX*,Kern,N,Should base be verified when printing RATIONALs?
*PRINT-READABLY*,Kern,N,"If true, all objects will be printed readably. If readable printing is impossible, an error will be signalled. This overrides the value of *PRINT-ESCAPE*."
*PRINT-RIGHT-MARGIN*,Kern,N,The position of the right margin in ems (for pretty-printing).
*QUERY-IO*,Kern,N,query I/O stream
*RANDOM-STATE*,Kern,N,Variable: default random-state for random.
*READ-BASE*,Kern,N,the radix that Lisp reads numbers in
*READ-DEFAULT-FLOAT-FORMAT*,Kern,N,Variable: default float format for the reader.
*READ-EVAL*,Kern,N,"If false, then the #. read macro is disabled."
*READ-SUPPRESS*,Kern,N,Suppress most interpreting in the reader when T.
*READTABLE*,Kern,N,Variable bound to current readtable.
*STANDARD-INPUT*,Kern,N,default input stream
*STANDARD-OUTPUT*,Kern,N,default output stream
*TERMINAL-IO*,Kern,N,terminal I/O stream
*TRACE-OUTPUT*,Kern,N,trace output stream
+,Kern,J,"Return the sum of its arguments. With no args, returns 0."
++,Kern,N,the previous value of +
+++,Kern,N,the previous value of ++
-,Kern,J,"Subtract the second and all subsequent arguments from the first; or with one argument, negate the first argument."
/,Kern,J,"Divide the first argument by each of the following arguments, in turn. With one argument, return reciprocal."
//,Kern,N,the previous value of /
///,Kern,N,the previous value of //
/=,Kern,N,"Return T if no two of its arguments are numerically equal, NIL otherwise."
1+,Kern,N,Return NUMBER + 1.
1-,Kern,N,Return NUMBER - 1.
<,Kern,J,"Return T if its arguments are in strictly increasing order, NIL otherwise."
<=,Kern,J,"Return T if arguments are in strictly non-decreasing order, NIL otherwise."
=,Kern,J,"Return T if all of its arguments are numerically equal, NIL otherwise."
>,Kern,J,"Return T if its arguments are in strictly decreasing order, NIL otherwise."
>=,Kern,J,"Return T if arguments are in strictly non-increasing order, NIL otherwise."
ABORT,Kern,N,"Transfer control to a restart named ABORT, signalling a CONTROL-ERROR if none exists."
ABS,Kern,J,Return the absolute value of the number.
ACONS,Kern,N,Construct a new alist by adding the pair (KEY . DATUM) to ALIST.
ACOS,Kern,N,Return the arc cosine of NUMBER.
ACOSH,Kern,N,Return the hyperbolic arc cosine of NUMBER.
ADD-METHOD,Kern,N,Adds a method to a generic function.
